x,u
0.00000000,0.03903557
0.02040816,0.02659385
0.04081633,0.01701747
0.06122449,0.01024914
0.08163265,0.00583176
0.10204082,0.00314940
0.12244898,0.00162198
0.14285714,0.00080030
0.16326531,0.00037992
0.18367347,0.00017419
0.20408163,0.00007739
0.22448980,0.00003343
0.24489796,0.00001407
0.26530612,0.00000578
0.28571429,0.00000233
0.30612245,0.00000092
0.32653061,0.00000036
0.34693878,0.00000014
0.36734694,0.00000005
0.38775510,0.00000002
0.40816327,0.00000001
0.42857143,0.00000000
0.44897959,0.00000000
0.46938776,0.00000000
0.48979592,0.00000000
0.51020408,0.00000000
0.53061224,0.00000000
0.55102041,0.00000000
0.57142857,0.00000000
0.59183673,0.00000000
0.61224490,0.00000000
0.63265306,0.00000000
0.65306122,0.00000000
0.67346939,0.00000000
0.69387755,0.00000000
0.71428571,0.00000000
0.73469388,0.00000000
0.75510204,0.00000000
0.77551020,0.00000000
0.79591837,0.00000000
0.81632653,0.00000000
0.83673469,0.00000000
0.85714286,0.00000000
0.87755102,0.00000000
0.89795918,0.00000000
0.91836735,0.00000000
0.93877551,0.00000000
0.95918367,0.00000000
0.97959184,0.00000000
1.00000000,0.00000000
